Date,Sheet_Source,Metric,Value
01-01-2024,Subscribers & Revenue,New Monthly Subscribers,90
01-02-2024,Subscribers & Revenue,New Monthly Subscribers,99
01-03-2024,Subscribers & Revenue,New Monthly Subscribers,109
01-04-2024,Subscribers & Revenue,New Monthly Subscribers,120
01-05-2024,Subscribers & Revenue,New Monthly Subscribers,132
01-06-2024,Subscribers & Revenue,New Monthly Subscribers,145
01-07-2024,Subscribers & Revenue,New Monthly Subscribers,160
01-08-2024,Subscribers & Revenue,New Monthly Subscribers,176
01-09-2024,Subscribers & Revenue,New Monthly Subscribers,194
01-10-2024,Subscribers & Revenue,New Monthly Subscribers,213
01-11-2024,Subscribers & Revenue,New Monthly Subscribers,234
01-12-2024,Subscribers & Revenue,New Monthly Subscribers,257
01-01-2025,Subscribers & Revenue,New Monthly Subscribers,283
01-02-2025,Subscribers & Revenue,New Monthly Subscribers,311
01-03-2025,Subscribers & Revenue,New Monthly Subscribers,342
01-04-2025,Subscribers & Revenue,New Monthly Subscribers,376
01-05-2025,Subscribers & Revenue,New Monthly Subscribers,414
01-06-2025,Subscribers & Revenue,New Monthly Subscribers,455
01-07-2025,Subscribers & Revenue,New Monthly Subscribers,501
01-08-2025,Subscribers & Revenue,New Monthly Subscribers,551
01-09-2025,Subscribers & Revenue,New Monthly Subscribers,606
01-10-2025,Subscribers & Revenue,New Monthly Subscribers,667
01-11-2025,Subscribers & Revenue,New Monthly Subscribers,734
01-12-2025,Subscribers & Revenue,New Monthly Subscribers,807
01-01-2026,Subscribers & Revenue,New Monthly Subscribers,888
01-02-2026,Subscribers & Revenue,New Monthly Subscribers,977
01-03-2026,Subscribers & Revenue,New Monthly Subscribers,1075
01-04-2026,Subscribers & Revenue,New Monthly Subscribers,1183
01-05-2026,Subscribers & Revenue,New Monthly Subscribers,1301
01-06-2026,Subscribers & Revenue,New Monthly Subscribers,1431
01-07-2026,Subscribers & Revenue,New Monthly Subscribers,1574
01-08-2026,Subscribers & Revenue,New Monthly Subscribers,1731
01-09-2026,Subscribers & Revenue,New Monthly Subscribers,1904
01-10-2026,Subscribers & Revenue,New Monthly Subscribers,2094
01-11-2026,Subscribers & Revenue,New Monthly Subscribers,2303
01-12-2026,Subscribers & Revenue,New Monthly Subscribers,2533
